Index, Register(Num), Data Label, Unit, Scale, Access 
549,31368(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #66), A AC, x10, RO
550,31369(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #66), A AC, x10, RO
551,31370(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #66), A AC, x10, RO
552,31371(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #66), kW, x1000, RO
553,31372(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #66), kWH, x1000, RO
554,31374(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #66), , x100, RO
555,31375(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #66), %, x1, RO
556,31379(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #67), , x1, RO
557,31380(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #67), A AC, x10, RO
558,31381(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #67), A AC, x10, RO
559,31382(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #67), A AC, x10, RO
560,31383(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #67), kW, x1000, RO
561,31384(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #67), kWH, x1000, RO
562,31386(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #67), , x100, RO
563,31387(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #67), %, x1, RO
564,31391(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #68), , x1, RO
565,31392(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #68), A AC, x10, RO
566,31393(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #68), A AC, x10, RO
567,31394(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #68), A AC, x10, RO
568,31395(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #68), kW, x1000, RO
569,31396(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #68), kWH, x1000, RO
570,31398(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #68), , x100, RO
571,31399(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #68), %, x1, RO
572,31403(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #69), , x1, RO
573,31404(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #69), A AC, x10, RO
574,31405(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #69), A AC, x10, RO
575,31406(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #69), A AC, x10, RO
576,31407(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #69), kW, x1000, RO
577,31408(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #69), kWH, x1000, RO
578,31410(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #69), , x100, RO
579,31411(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #69), %, x1, RO
580,31415(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #70), , x1, RO
581,31416(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #70), A AC, x10, RO
582,31417(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #70), A AC, x10, RO
583,31418(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #70), A AC, x10, RO
584,31419(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #70), kW, x1000, RO
585,31420(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #70), kWH, x1000, RO
586,31422(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #70), , x100, RO
587,31423(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #70), %, x1, RO
588,31427(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #71), , x1, RO
589,31428(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #71), A AC, x10, RO
590,31429(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #71), A AC, x10, RO
591,31430(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #71), A AC, x10, RO
592,31431(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #71), kW, x1000, RO
593,31432(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #71), kWH, x1000, RO
594,31434(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #71), , x100, RO
595,31435(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #71), %, x1, RO
596,31439(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #72), , x1, RO
597,31440(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #72), A AC, x10, RO
598,31441(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #72), A AC, x10, RO
599,31442(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #72), A AC, x10, RO
600,31443(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #72), kW, x1000, RO
601,31444(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #72), kWH, x1000, RO
602,31446(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #72), , x100, RO
603,31447(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #72), %, x1, RO
604,31451(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #73), , x1, RO
605,31452(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #73), A AC, x10, RO
606,31453(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #73), A AC, x10, RO
607,31454(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #73), A AC, x10, RO
608,31455(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #73), kW, x1000, RO
609,31456(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #73), kWH, x1000, RO
610,31458(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #73), , x100, RO
611,31459(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #73), %, x1, RO
612,31463(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #74), , x1, RO
613,31464(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #74), A AC, x10, RO
614,31465(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #74), A AC, x10, RO
615,31466(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #74), A AC, x10, RO
616,31467(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #74), kW, x1000, RO
617,31468(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #74), kWH, x1000, RO
618,31470(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #74), , x100, RO
619,31471(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #74), %, x1, RO
620,31475(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #75), , x1, RO
621,31476(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #75), A AC, x10, RO
622,31477(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #75), A AC, x10, RO
623,31478(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #75), A AC, x10, RO
624,31479(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #75), kW, x1000, RO
625,31480(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #75), kWH, x1000, RO
626,31482(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #75), , x100, RO
627,31483(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #75), %, x1, RO
628,31487(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #76), , x1, RO
629,31488(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #76), A AC, x10, RO
630,31489(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #76), A AC, x10, RO
631,31490(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #76), A AC, x10, RO
632,31491(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #76), kW, x1000, RO
633,31492(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #76), kWH, x1000, RO
634,31494(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #76), , x100, RO
635,31495(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #76), %, x1, RO
636,31499(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #77), , x1, RO
637,31500(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #77), A AC, x10, RO
638,31501(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #77), A AC, x10, RO
639,31502(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #77), A AC, x10, RO
640,31503(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #77), kW, x1000, RO
641,31504(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #77), kWH, x1000, RO
642,31506(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #77), , x100, RO
643,31507(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #77), %, x1, RO
644,31511(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #78), , x1, RO
645,31512(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #78), A AC, x10, RO
646,31513(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #78), A AC, x10, RO
647,31514(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #78), A AC, x10, RO
648,31515(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #78), kW, x1000, RO
649,31516(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #78), kWH, x1000, RO
650,31518(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #78), , x100, RO
651,31519(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #78), %, x1, RO
652,31523(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #79), , x1, RO
653,31524(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #79), A AC, x10, RO
654,31525(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #79), A AC, x10, RO
655,31526(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #79), A AC, x10, RO
656,31527(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #79), kW, x1000, RO
657,31528(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #79), kWH, x1000, RO
658,31530(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #79), , x100, RO
659,31531(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #79), %, x1, RO
660,31535(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #80), , x1, RO
661,31536(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #80), A AC, x10, RO
662,31537(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #80), A AC, x10, RO
663,31538(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #80), A AC, x10, RO
664,31539(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #80), kW, x1000, RO
665,31540(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #80), kWH, x1000, RO
666,31542(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #80), , x100, RO
667,31543(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #80), %, x1, RO
668,31547(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #81), , x1, RO
669,31548(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #81), A AC, x10, RO
670,31549(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #81), A AC, x10, RO
671,31550(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #81), A AC, x10, RO
672,31551(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #81), kW, x1000, RO
673,31552(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #81), kWH, x1000, RO
674,31554(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #81), , x100, RO
675,31555(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #81), %, x1, RO
676,31559(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #82), , x1, RO
677,31560(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #82), A AC, x10, RO
678,31561(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #82), A AC, x10, RO
679,31562(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #82), A AC, x10, RO
680,31563(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #82), kW, x1000, RO
681,31564(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #82), kWH, x1000, RO
682,31566(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #82), , x100, RO
683,31567(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #82), %, x1, RO
684,31571(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #83), , x1, RO
685,31572(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #83), A AC, x10, RO
686,31573(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #83), A AC, x10, RO
687,31574(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #83), A AC, x10, RO
688,31575(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #83), kW, x1000, RO
689,31576(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #83), kWH, x1000, RO
690,31578(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #83), , x100, RO
691,31579(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #83), %, x1, RO
692,31583(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #84), , x1, RO
693,31584(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #84), A AC, x10, RO
694,31585(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #84), A AC, x10, RO
695,31586(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #84), A AC, x10, RO
696,31587(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #84), kW, x1000, RO
697,31588(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #84), kWH, x1000, RO
698,31590(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #84), , x100, RO
699,31591(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #84), %, x1, RO
700,35899(1), System Status, , x1, RO
701,39998(2), System Date and Time, , x1, RO
702,40478(2), Panel Main Output kW-Hrs (DFW18_120_RPP_A1-3), kWH, x10, WO
703,45900(1), System Event Acknowledge/Reset, , x1, WO
704,49998(2), System Date and Time, , x1, WO
705,10065(1), Panel Summary Alarm (DFW18_120_RPP_A1-3)
706,10066(1), Panel Overvoltage (DFW18_120_RPP_A1-3)
707,10067(1), Panel Undervoltage (DFW18_120_RPP_A1-3)
708,10068(1), Panel Phase Overcurrent (DFW18_120_RPP_A1-3)
709,10069(1), Panel Phase Overcurrent (DFW18_120_RPP_A1-3)
710,10070(1), Panel Neutral Overcurrent (DFW18_120_RPP_A1-3)
711,10071(1), Panel Ground Overcurrent (DFW18_120_RPP_A1-3)
712,10133(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #01)
713,10134(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #01)
714,10135(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #01)
715,10146(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #02)
716,10147(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #02)
717,10148(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #02)
718,10159(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #03)
719,10160(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #03)
720,10161(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #03)
721,10172(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #04)
722,10173(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #04)
723,10174(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #04)
724,10185(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #05)
725,10186(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #05)
726,10187(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #05)
727,10198(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #06)
728,10199(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #06)
729,10200(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #06)
730,10211(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #07)
731,10212(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #07)
732,10213(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #07)
733,10224(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #08)
734,10225(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #08)
735,10226(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #08)
736,10237(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #09)
737,10238(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #09)
738,10239(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #09)
739,10250(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #10)
740,10251(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #10)
741,10252(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #10)
742,10263(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #11)
743,10264(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #11)
744,10265(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #11)
745,10276(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #12)
746,10277(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #12)
747,10278(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #12)
748,10289(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #13)
749,10290(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #13)
750,10291(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #13)
751,10302(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #14)
752,10303(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #14)
753,10304(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #14)
754,10315(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #15)
755,10316(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #15)
756,10317(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #15)
757,10328(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #16)
758,10329(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #16)
759,10330(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #16)
760,10341(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #17)
761,10342(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #17)
762,10343(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #17)
763,10354(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #18)
764,10355(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #18)
765,10356(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #18)
766,10367(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #19)
767,10368(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #19)
768,10369(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #19)
769,10380(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #20)
770,10381(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #20)
771,10382(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #20)
772,10393(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #21)
773,10394(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #21)
774,10395(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #21)
775,10406(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #22)
776,10407(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #22)
777,10408(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #22)
778,10419(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #23)
779,10420(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #23)
780,10421(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #23)
781,10432(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #24)
782,10433(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #24)
783,10434(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #24)
784,10445(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #25)
785,10446(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #25)
786,10447(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #25)
787,10458(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #26)
788,10459(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #26)
789,10460(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #26)
790,10471(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #27)
791,10472(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #27)
792,10473(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #27)
793,10484(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #28)
794,10485(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #28)
795,10486(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #28)
796,10497(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #29)
797,10498(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #29)
798,10499(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #29)
799,10510(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #30)
800,10511(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #30)
801,10512(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #30)
802,10523(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #31)
803,10524(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #31)
804,10525(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #31)
805,10536(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #32)
806,10537(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #32)
807,10538(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #32)
808,10549(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #33)
809,10550(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #33)
810,10551(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #33)
811,10562(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #34)
812,10563(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #34)
813,10564(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #34)
814,10575(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #35)
815,10576(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #35)
816,10577(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #35)
817,10588(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #36)
818,10589(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #36)
819,10590(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #36)
820,10601(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #37)
821,10602(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #37)
822,10603(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #37)
823,10614(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #38)
824,10615(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #38)
825,10616(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #38)
826,10627(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #39)
827,10628(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #39)
828,10629(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #39)
829,10640(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #40)
830,10641(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #40)
831,10642(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #40)
832,10653(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #41)
833,10654(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #41)
834,10655(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #41)
835,10666(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #42)
836,10667(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #42)
837,10668(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #42)
838,10679(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #43)
839,10680(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #43)
840,10681(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #43)
841,10692(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #44)
842,10693(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #44)
843,10694(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #44)
844,10705(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #45)
845,10706(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #45)
846,10707(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #45)
847,10718(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #46)
848,10719(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #46)
