Index, Register(Num), Data Label, Unit, Scale, Access 
162,30786(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #17), , x100, RO
163,30787(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #17), %, x1, RO
164,30791(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #18), , x1, RO
165,30792(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #18), A AC, x10, RO
166,30793(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #18), A AC, x10, RO
167,30794(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #18), A AC, x10, RO
168,30795(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #18), kW, x1000, RO
169,30796(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #18), kWH, x1000, RO
170,30798(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #18), , x100, RO
171,30799(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #18), %, x1, RO
172,30803(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #19), , x1, RO
173,30804(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #19), A AC, x10, RO
174,30805(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #19), A AC, x10, RO
175,30806(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #19), A AC, x10, RO
176,30807(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #19), kW, x1000, RO
177,30808(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #19), kWH, x1000, RO
178,30810(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #19), , x100, RO
179,30811(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #19), %, x1, RO
180,30815(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #20), , x1, RO
181,30816(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #20), A AC, x10, RO
182,30817(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #20), A AC, x10, RO
183,30818(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #20), A AC, x10, RO
184,30819(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #20), kW, x1000, RO
185,30820(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #20), kWH, x1000, RO
186,30822(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #20), , x100, RO
187,30823(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #20), %, x1, RO
188,30827(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #21), , x1, RO
189,30828(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #21), A AC, x10, RO
190,30829(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #21), A AC, x10, RO
191,30830(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #21), A AC, x10, RO
192,30831(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #21), kW, x1000, RO
193,30832(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #21), kWH, x1000, RO
194,30834(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #21), , x100, RO
195,30835(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #21), %, x1, RO
196,30839(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #22), , x1, RO
197,30840(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #22), A AC, x10, RO
198,30841(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #22), A AC, x10, RO
199,30842(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #22), A AC, x10, RO
200,30843(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #22), kW, x1000, RO
201,30844(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #22), kWH, x1000, RO
202,30846(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #22), , x100, RO
203,30847(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #22), %, x1, RO
204,30851(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #23), , x1, RO
205,30852(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #23), A AC, x10, RO
206,30853(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #23), A AC, x10, RO
207,30854(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #23), A AC, x10, RO
208,30855(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #23), kW, x1000, RO
209,30856(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #23), kWH, x1000, RO
210,30858(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #23), , x100, RO
211,30859(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #23), %, x1, RO
212,30863(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #24), , x1, RO
213,30864(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #24), A AC, x10, RO
214,30865(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #24), A AC, x10, RO
215,30866(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #24), A AC, x10, RO
216,30867(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #24), kW, x1000, RO
217,30868(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #24), kWH, x1000, RO
218,30870(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #24), , x100, RO
219,30871(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #24), %, x1, RO
220,30875(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #25), , x1, RO
221,30876(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #25), A AC, x10, RO
222,30877(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #25), A AC, x10, RO
223,30878(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #25), A AC, x10, RO
224,30879(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #25), kW, x1000, RO
225,30880(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #25), kWH, x1000, RO
226,30882(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #25), , x100, RO
227,30883(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #25), %, x1, RO
228,30887(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #26), , x1, RO
229,30888(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #26), A AC, x10, RO
230,30889(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #26), A AC, x10, RO
231,30890(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #26), A AC, x10, RO
232,30891(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #26), kW, x1000, RO
233,30892(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #26), kWH, x1000, RO
234,30894(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #26), , x100, RO
235,30895(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #26), %, x1, RO
236,30899(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #27), , x1, RO
237,30900(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #27), A AC, x10, RO
238,30901(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #27), A AC, x10, RO
239,30902(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #27), A AC, x10, RO
240,30903(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #27), kW, x1000, RO
241,30904(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #27), kWH, x1000, RO
242,30906(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #27), , x100, RO
243,30907(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #27), %, x1, RO
244,30911(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #28), , x1, RO
245,30912(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #28), A AC, x10, RO
246,30913(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #28), A AC, x10, RO
247,30914(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #28), A AC, x10, RO
248,30915(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #28), kW, x1000, RO
249,30916(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #28), kWH, x1000, RO
